id,city,state,attraction,category,latitude,longitude,visit_date,season,traveler_type,duration_days,rating,sentiment_label,sentiment_score,safety_score,cleanliness_score,crowd_level,cost_bucket,weather_at_visit,had_scam,had_emergency,emergency_services_nearby,review_text
11,Delhi,Delhi,Red Fort,City,28.6139,77.209,2024-03-17,Summer,Friends,4,4.6,Positive,0.396,4,6,Low,Budget,Sunny,0,0,Hospitals:9;Police:1,Visited Red Fort in Delhi as a Friends traveler during Summer. The trip lasted 4 days. I great for families. Weather was Sunny and crowd level was Low. Overall rating 4.6/5.
12,Udaipur,Rajasthan,City Palace,Heritage,24.5854,73.7125,2023-09-04,Monsoon,Business,4,5.0,Positive,0.353,4,5,High,Mid-range,Windy,0,0,Hospitals:10;Police:6,Visited City Palace in Udaipur as a Business traveler during Monsoon. The trip lasted 4 days. I transport was convenient. Weather was Windy and crowd level was High. Overall rating 5.0/5.
13,Shillong,Meghalaya,Umiam Lake,Hill Station,25.5788,91.8933,2023-07-06,Monsoon,Business,6,4.8,Positive,0.512,7,8,High,Budget,Windy,0,0,Hospitals:4;Police:6,Visited Umiam Lake in Shillong as a Business traveler during Monsoon. The trip lasted 6 days. I loved the food and culture. Weather was Windy and crowd level was High. Overall rating 4.8/5.
14,Varanasi,Uttar Pradesh,Dashashwamedh Ghat,Spiritual,25.3176,82.9739,2025-05-21,Summer,Couple,1,1.5,Negative,-0.427,5,8,Medium,Mid-range,Sunny,0,0,Hospitals:8;Police:6,Visited Dashashwamedh Ghat in Varanasi as a Couple traveler during Summer. The trip lasted 1 days. I cleanliness could be better. Weather was Sunny and crowd level was Medium. Overall rating 1.5/5.
15,Kolkata,West Bengal,Victoria Memorial,City,22.5726,88.3639,2025-05-30,Summer,Friends,2,5.0,Positive,0.481,7,8,High,Budget,Humid,0,0,Hospitals:9;Police:7,Visited Victoria Memorial in Kolkata as a Friends traveler during Summer. The trip lasted 2 days. I transport was convenient. Weather was Humid and crowd level was High. Overall rating 5.0/5.
16,Cherrapunji,Meghalaya,Nohkalikai,Nature,25.2841,91.7305,2024-05-24,Summer,Couple,1,5.0,Positive,0.731,10,7,High,Budget,Rainy,0,0,Hospitals:12;Police:2,Visited Nohkalikai in Cherrapunji as a Couple traveler during Summer. The trip lasted 1 days. I great value for money. Weather was Rainy and crowd level was High. Overall rating 5.0/5.
17,Amritsar,Punjab,Wagah Border,Spiritual,31.634,74.8723,2024-02-05,Winter,Family,1,4.6,Positive,0.714,10,8,Very High,Mid-range,Cold,0,0,Hospitals:2;Police:8,Visited Wagah Border in Amritsar as a Family traveler during Winter. The trip lasted 1 days. I found the locals very helpful. Weather was Cold and crowd level was Very High. Overall rating 4.6/5.
18,Cherrapunji,Meghalaya,Living Root Bridges,Nature,25.2841,91.7305,2025-05-28,Summer,Business,1,2.7,Neutral,-0.072,5,8,Low,Mid-range,Cloudy,0,0,Hospitals:7;Police:7,Visited Living Root Bridges in Cherrapunji as a Business traveler during Summer. The trip lasted 1 days. I nothing extraordinary. Weather was Cloudy and crowd level was Low. Overall rating 2.7/5.
19,Shimla,Himachal Pradesh,Jakhu Temple,Hill Station,31.1048,77.1734,2023-06-30,Monsoon,Friends,7,3.2,Neutral,0.19,3,5,Medium,Luxury,Windy,0,0,Hospitals:5;Police:5,Visited Jakhu Temple in Shimla as a Friends traveler during Monsoon. The trip lasted 7 days. I basic amenities available. Weather was Windy and crowd level was Medium. Overall rating 3.2/5.
20,Mount Abu,Rajasthan,Sunset Point,Hill Station,24.5925,72.7156,2025-05-03,Summer,Couple,7,3.2,Neutral,-0.094,9,7,High,Mid-range,Rainy,0,0,Hospitals:11;Police:3,Visited Sunset Point in Mount Abu as a Couple traveler during Summer. The trip lasted 7 days. I nothing extraordinary. Weather was Rainy and crowd level was High. Overall rating 3.2/5.
21,Mumbai,Maharashtra,Gateway of India,City,19.076,72.8777,2025-07-09,Monsoon,Solo,5,2.8,Neutral,0.009,7,7,Medium,Mid-range,Humid,0,0,Hospitals:6;Police:3,Visited Gateway of India in Mumbai as a Solo traveler during Monsoon. The trip lasted 5 days. I basic amenities available. Weather was Humid and crowd level was Medium. Overall rating 2.8/5.
22,Munnar,Kerala,Tea Museum,Hill Station,10.0892,77.0595,2024-11-12,Autumn,Couple,6,4.6,Positive,0.497,3,7,High,Budget,Cloudy,0,0,Hospitals:6;Police:6,Visited Tea Museum in Munnar as a Couple traveler during Autumn. The trip lasted 6 days. I great value for money. Weather was Cloudy and crowd level was High. Overall rating 4.6/5.
23,Kargil,Ladakh,Suru Valley,Mountain,34.5563,76.1269,2023-02-16,Winter,Friends,3,5.0,Positive,0.934,8,2,High,Budget,Cloudy,0,0,Hospitals:8;Police:6,Visited Suru Valley in Kargil as a Friends traveler during Winter. The trip lasted 3 days. I clean and well-maintained. Weather was Cloudy and crowd level was High. Overall rating 5.0/5.
24,Kochi,Kerala,Fort Kochi,Coastal,9.9312,76.2673,2025-10-09,Autumn,Couple,1,4.9,Positive,0.413,6,5,Medium,Mid-range,Cold,0,0,Hospitals:16;Police:8,Visited Fort Kochi in Kochi as a Couple traveler during Autumn. The trip lasted 1 days. I great for families. Weather was Cold and crowd level was Medium. Overall rating 4.9/5.
25,Kochi,Kerala,Mattancherry,Coastal,9.9312,76.2673,2023-09-04,Monsoon,Business,3,3.3,Neutral,0.153,4,7,Medium,Budget,Cold,0,0,Hospitals:11;Police:4,Visited Mattancherry in Kochi as a Business traveler during Monsoon. The trip lasted 3 days. I food options were okay. Weather was Cold and crowd level was Medium. Overall rating 3.3/5.
26,Jaisalmer,Rajasthan,Sam Sand Dunes,Desert,26.9157,70.9083,2023-01-23,Winter,Couple,2,2.6,Neutral,0.104,6,6,High,Mid-range,Cold,0,0,Hospitals:7;Police:5,Visited Sam Sand Dunes in Jaisalmer as a Couple traveler during Winter. The trip lasted 2 days. I crowd was manageable. Weather was Cold and crowd level was High. Overall rating 2.6/5.
27,Andaman,Andaman & Nicobar,Radhanagar Beach,Island,11.7401,92.6586,2025-06-14,Monsoon,Solo,3,4.6,Positive,0.673,9,7,High,Mid-range,Cloudy,0,0,Hospitals:6;Police:2,Visited Radhanagar Beach in Andaman as a Solo traveler during Monsoon. The trip lasted 3 days. I found the locals very helpful. Weather was Cloudy and crowd level was High. Overall rating 4.6/5.
28,Cherrapunji,Meghalaya,Living Root Bridges,Nature,25.2841,91.7305,2023-01-12,Winter,Friends,7,3.1,Neutral,0.001,7,6,Medium,Mid-range,Sunny,0,0,Hospitals:3;Police:2,Visited Living Root Bridges in Cherrapunji as a Friends traveler during Winter. The trip lasted 7 days. I had to wait a bit. Weather was Sunny and crowd level was Medium. Overall rating 3.1/5.
29,Udaipur,Rajasthan,Lake Pichola,Heritage,24.5854,73.7125,2025-04-05,Summer,Business,5,4.5,Positive,0.325,6,7,Medium,Budget,Cold,0,0,Hospitals:7;Police:3,Visited Lake Pichola in Udaipur as a Business traveler during Summer. The trip lasted 5 days. I clean and well-maintained. Weather was Cold and crowd level was Medium. Overall rating 4.5/5.
30,Kochi,Kerala,Mattancherry,Coastal,9.9312,76.2673,2025-10-05,Autumn,Solo,7,4.4,Positive,0.677,7,9,Medium,Mid-range,Windy,0,0,Hospitals:10;Police:1,Visited Mattancherry in Kochi as a Solo traveler during Autumn. The trip lasted 7 days. I found the locals very helpful. Weather was Windy and crowd level was Medium. Overall rating 4.4/5.
31,Bhopal,Madhya Pradesh,Sanchi Stupa,City,23.2599,77.4126,2024-08-18,Monsoon,Family,1,4.7,Positive,0.307,6,7,Very High,Mid-range,Rainy,0,0,Hospitals:7;Police:1,Visited Sanchi Stupa in Bhopal as a Family traveler during Monsoon. The trip lasted 1 days. I found the locals very helpful. Weather was Rainy and crowd level was Very High. Overall rating 4.7/5.
32,Gir,Gujarat,Gir National Park,Wildlife,21.124,70.8242,2025-06-09,Monsoon,Friends,5,2.8,Neutral,0.151,8,8,Low,Mid-range,Windy,1,0,Hospitals:11;Police:4,Visited Gir National Park in Gir as a Friends traveler during Monsoon. The trip lasted 5 days. I experience was average. Weather was Windy and crowd level was Low. Overall rating 2.8/5.
33,Kochi,Kerala,Mattancherry,Coastal,9.9312,76.2673,2023-08-23,Monsoon,Couple,3,4.6,Positive,0.366,9,7,Low,Mid-range,Sunny,0,0,Hospitals:5;Police:1,Visited Mattancherry in Kochi as a Couple traveler during Monsoon. The trip lasted 3 days. I great for families. Weather was Sunny and crowd level was Low. Overall rating 4.6/5.
34,Cherrapunji,Meghalaya,Nohkalikai,Nature,25.2841,91.7305,2024-05-14,Summer,Business,1,2.6,Neutral,0.229,5,6,High,Mid-range,Cloudy,0,0,Hospitals:7;Police:1,Visited Nohkalikai in Cherrapunji as a Business traveler during Summer. The trip lasted 1 days. I had to wait a bit. Weather was Cloudy and crowd level was High. Overall rating 2.6/5.
35,Manali,Himachal Pradesh,Rohtang Pass,Mountain,32.2432,77.1892,2024-10-14,Autumn,Couple,2,3.3,Neutral,-0.102,6,7,High,Mid-range,Cold,0,0,Hospitals:4;Police:7,Visited Rohtang Pass in Manali as a Couple traveler during Autumn. The trip lasted 2 days. I had to wait a bit. Weather was Cold and crowd level was High. Overall rating 3.3/5.
36,Agra,Uttar Pradesh,Mehtab Bagh,Monument,27.1751,78.0421,2025-07-22,Monsoon,Family,5,3.6,Neutral,0.235,7,7,Low,Mid-range,Sunny,0,0,Hospitals:13;Police:7,Visited Mehtab Bagh in Agra as a Family traveler during Monsoon. The trip lasted 5 days. I food options were okay. Weather was Sunny and crowd level was Low. Overall rating 3.6/5.
37,Hampi,Karnataka,Virupaksha Temple,Heritage,15.335,76.46,2024-10-17,Autumn,Family,7,5.0,Positive,0.48,5,6,Medium,Mid-range,Sunny,0,0,Hospitals:2;Police:1,Visited Virupaksha Temple in Hampi as a Family traveler during Autumn. The trip lasted 7 days. I loved the food and culture. Weather was Sunny and crowd level was Medium. Overall rating 5.0/5.
38,Darjeeling,West Bengal,Tea Gardens,Hill Station,27.041,88.2663,2024-04-05,Summer,Solo,4,4.4,Positive,0.476,6,8,Medium,Luxury,Windy,0,0,Hospitals:3;Police:5,Visited Tea Gardens in Darjeeling as a Solo traveler during Summer. The trip lasted 4 days. I found the locals very helpful. Weather was Windy and crowd level was Medium. Overall rating 4.4/5.
39,Andaman,Andaman & Nicobar,Radhanagar Beach,Island,11.7401,92.6586,2025-10-12,Autumn,Business,1,3.9,Neutral,0.244,10,9,Medium,Mid-range,Cloudy,0,0,Hospitals:5;Police:6,Visited Radhanagar Beach in Andaman as a Business traveler during Autumn. The trip lasted 1 days. I crowd was manageable. Weather was Cloudy and crowd level was Medium. Overall rating 3.9/5.
40,Nainital,Uttarakhand,Snow View,Hill Station,29.3919,79.4542,2025-02-09,Winter,Business,5,5.0,Positive,0.68,8,8,Medium,Budget,Rainy,0,0,Hospitals:4;Police:2,Visited Snow View in Nainital as a Business traveler during Winter. The trip lasted 5 days. I felt safe most of the time. Weather was Rainy and crowd level was Medium. Overall rating 5.0/5.
41,Khajuraho,Madhya Pradesh,Panna Reserve,Heritage,24.8318,79.9199,2024-03-24,Summer,Friends,1,1.0,Negative,-0.318,6,8,Very High,Budget,Cold,0,0,Hospitals:5;Police:1,Visited Panna Reserve in Khajuraho as a Friends traveler during Summer. The trip lasted 1 days. I traffic was chaotic. Weather was Cold and crowd level was Very High. Overall rating 1.0/5.
42,Mount Abu,Rajasthan,Dilwara Temples,Hill Station,24.5925,72.7156,2025-05-02,Summer,Family,6,3.3,Neutral,0.132,6,6,Low,Budget,Windy,0,0,Hospitals:11;Police:4,Visited Dilwara Temples in Mount Abu as a Family traveler during Summer. The trip lasted 6 days. I food options were okay. Weather was Windy and crowd level was Low. Overall rating 3.3/5.
43,Kargil,Ladakh,Suru Valley,Mountain,34.5563,76.1269,2023-09-06,Monsoon,Friends,6,4.9,Positive,0.494,6,10,High,Mid-range,Humid,0,0,Hospitals:8;Police:1,Visited Suru Valley in Kargil as a Friends traveler during Monsoon. The trip lasted 6 days. I great for families. Weather was Humid and crowd level was High. Overall rating 4.9/5.
44,Hampi,Karnataka,Vittala Temple,Heritage,15.335,76.46,2023-05-06,Summer,Couple,3,5.0,Positive,0.677,7,2,Medium,Mid-range,Rainy,0,0,Hospitals:10;Police:2,Visited Vittala Temple in Hampi as a Couple traveler during Summer. The trip lasted 3 days. I found the locals very helpful. Weather was Rainy and crowd level was Medium. Overall rating 5.0/5.
45,Jaipur,Rajasthan,City Palace,Heritage,26.9124,75.7873,2023-10-08,Autumn,Business,3,4.0,Positive,0.933,9,4,High,Budget,Cold,0,0,Hospitals:10;Police:10,Visited City Palace in Jaipur as a Business traveler during Autumn. The trip lasted 3 days. I loved the food and culture. Weather was Cold and crowd level was High. Overall rating 4.0/5.
46,Kolkata,West Bengal,Victoria Memorial,City,22.5726,88.3639,2024-06-07,Monsoon,Solo,2,4.8,Positive,0.384,4,4,Low,Mid-range,Cloudy,0,0,Hospitals:6;Police:1,Visited Victoria Memorial in Kolkata as a Solo traveler during Monsoon. The trip lasted 2 days. I had a wonderful time. Weather was Cloudy and crowd level was Low. Overall rating 4.8/5.
47,Varanasi,Uttar Pradesh,Dashashwamedh Ghat,Spiritual,25.3176,82.9739,2023-12-03,Winter,Family,2,4.2,Positive,0.649,7,6,High,Mid-range,Cold,0,0,Hospitals:8;Police:7,Visited Dashashwamedh Ghat in Varanasi as a Family traveler during Winter. The trip lasted 2 days. I found the locals very helpful. Weather was Cold and crowd level was High. Overall rating 4.2/5.
48,Darjeeling,West Bengal,Batasia Loop,Hill Station,27.041,88.2663,2023-12-29,Winter,Friends,7,4.5,Positive,0.32,6,8,Medium,Budget,Cold,0,0,Hospitals:12;Police:5,Visited Batasia Loop in Darjeeling as a Friends traveler during Winter. The trip lasted 7 days. I loved the food and culture. Weather was Cold and crowd level was Medium. Overall rating 4.5/5.
49,Leh,Ladakh,Khardung La,Mountain,34.1526,77.577,2023-03-27,Summer,Business,2,2.4,Negative,-0.66,7,2,High,Mid-range,Cloudy,0,0,Hospitals:6;Police:11,Visited Khardung La in Leh as a Business traveler during Summer. The trip lasted 2 days. I service quality was inconsistent. Weather was Cloudy and crowd level was High. Overall rating 2.4/5.
50,Mahabalipuram,Tamil Nadu,Pancha Rathas,Heritage,12.6208,80.192,2025-01-17,Winter,Couple,3,5.0,Positive,0.546,8,6,High,Budget,Sunny,0,0,Hospitals:5;Police:1,Visited Pancha Rathas in Mahabalipuram as a Couple traveler during Winter. The trip lasted 3 days. I found the locals very helpful. Weather was Sunny and crowd level was High. Overall rating 5.0/5.
51,Nainital,Uttarakhand,Snow View,Hill Station,29.3919,79.4542,2024-09-15,Monsoon,Family,4,4.8,Positive,0.303,7,6,High,Mid-range,Humid,0,0,Hospitals:9;Police:8,Visited Snow View in Nainital as a Family traveler during Monsoon. The trip lasted 4 days. I scenic views were breathtaking. Weather was Humid and crowd level was High. Overall rating 4.8/5.
52,Bengaluru,Karnataka,Bangalore Palace,City,12.9716,77.5946,2023-11-22,Autumn,Solo,2,3.9,Neutral,0.02,3,7,Low,Mid-range,Windy,0,0,Hospitals:7;Police:1,Visited Bangalore Palace in Bengaluru as a Solo traveler during Autumn. The trip lasted 2 days. I nothing extraordinary. Weather was Windy and crowd level was Low. Overall rating 3.9/5.
53,Kargil,Ladakh,War Memorial,Mountain,34.5563,76.1269,2023-09-16,Monsoon,Solo,1,3.3,Neutral,0.069,2,4,High,Budget,Windy,0,1,Hospitals:8;Police:4,Visited War Memorial in Kargil as a Solo traveler during Monsoon. The trip lasted 1 days. I food options were okay. Weather was Windy and crowd level was High. Overall rating 3.3/5.
54,Pondicherry,Puducherry,White Town,Coastal,11.9416,79.8083,2023-11-14,Autumn,Couple,4,3.0,Neutral,0.236,7,5,Very High,Budget,Cloudy,0,0,Hospitals:12;Police:5,Visited White Town in Pondicherry as a Couple traveler during Autumn. The trip lasted 4 days. I crowd was manageable. Weather was Cloudy and crowd level was Very High. Overall rating 3.0/5.
55,Bhopal,Madhya Pradesh,Sanchi Stupa,City,23.2599,77.4126,2025-05-22,Summer,Couple,5,3.5,Neutral,0.176,6,7,Medium,Luxury,Cloudy,0,0,Hospitals:16;Police:1,Visited Sanchi Stupa in Bhopal as a Couple traveler during Summer. The trip lasted 5 days. I food options were okay. Weather was Cloudy and crowd level was Medium. Overall rating 3.5/5.
56,Munnar,Kerala,Top Station,Hill Station,10.0892,77.0595,2024-02-26,Winter,Couple,1,3.0,Neutral,0.149,3,7,High,Budget,Humid,0,0,Hospitals:4;Police:5,Visited Top Station in Munnar as a Couple traveler during Winter. The trip lasted 1 days. I experience was average. Weather was Humid and crowd level was High. Overall rating 3.0/5.
57,Orchha,Madhya Pradesh,Orchha Fort,Heritage,25.3519,78.64,2024-08-01,Monsoon,Solo,7,4.9,Positive,0.408,9,6,High,Mid-range,Sunny,0,0,Hospitals:12;Police:7,Visited Orchha Fort in Orchha as a Solo traveler during Monsoon. The trip lasted 7 days. I great for families. Weather was Sunny and crowd level was High. Overall rating 4.9/5.
58,Goa,Goa,Baga Beach,Beach,15.2993,74.124,2023-10-16,Autumn,Couple,6,4.7,Positive,0.433,6,10,High,Budget,Humid,0,0,Hospitals:17;Police:2,Visited Baga Beach in Goa as a Couple traveler during Autumn. The trip lasted 6 days. I scenic views were breathtaking. Weather was Humid and crowd level was High. Overall rating 4.7/5.
59,Mahabalipuram,Tamil Nadu,Shore Temple,Heritage,12.6208,80.192,2023-01-15,Winter,Friends,5,3.0,Neutral,0.014,10,9,High,Mid-range,Cloudy,0,0,Hospitals:15;Police:1,Visited Shore Temple in Mahabalipuram as a Friends traveler during Winter. The trip lasted 5 days. I experience was average. Weather was Cloudy and crowd level was High. Overall rating 3.0/5.
60,Udaipur,Rajasthan,City Palace,Heritage,24.5854,73.7125,2023-01-23,Winter,Friends,7,3.3,Neutral,-0.035,8,7,Low,Budget,Humid,0,0,Hospitals:4;Police:5,Visited City Palace in Udaipur as a Friends traveler during Winter. The trip lasted 7 days. I basic amenities available. Weather was Humid and crowd level was Low. Overall rating 3.3/5.
61,Alleppey,Kerala,Houseboats,Backwaters,9.4981,76.3388,2025-10-04,Autumn,Business,4,5.0,Positive,0.543,8,5,Medium,Mid-range,Cloudy,0,0,Hospitals:6;Police:6,Visited Houseboats in Alleppey as a Business traveler during Autumn. The trip lasted 4 days. I clean and well-maintained. Weather was Cloudy and crowd level was Medium. Overall rating 5.0/5.
62,Haridwar,Uttarakhand,Mansa Devi,Spiritual,29.9457,78.1642,2025-08-26,Monsoon,Couple,5,2.6,Neutral,-0.016,4,3,Medium,Luxury,Cold,0,0,Hospitals:6;Police:10,Visited Mansa Devi in Haridwar as a Couple traveler during Monsoon. The trip lasted 5 days. I experience was average. Weather was Cold and crowd level was Medium. Overall rating 2.6/5.
63,Bhopal,Madhya Pradesh,Upper Lake,City,23.2599,77.4126,2025-07-27,Monsoon,Family,3,2.9,Neutral,0.049,6,8,Medium,Mid-range,Sunny,0,1,Hospitals:7;Police:1,Visited Upper Lake in Bhopal as a Family traveler during Monsoon. The trip lasted 3 days. I experience was average. Weather was Sunny and crowd level was Medium. Overall rating 2.9/5.
64,Bhubaneswar,Odisha,Udayagiri,City,20.2961,85.8245,2024-11-19,Autumn,Business,4,4.5,Positive,0.355,7,7,Medium,Budget,Cloudy,0,0,Hospitals:7;Police:5,Visited Udayagiri in Bhubaneswar as a Business traveler during Autumn. The trip lasted 4 days. I great for families. Weather was Cloudy and crowd level was Medium. Overall rating 4.5/5.
65,Mumbai,Maharashtra,Elephanta Caves,City,19.076,72.8777,2023-10-12,Autumn,Solo,1,4.0,Positive,0.343,5,6,Medium,Budget,Sunny,0,0,Hospitals:14;Police:3,Visited Elephanta Caves in Mumbai as a Solo traveler during Autumn. The trip lasted 1 days. I felt safe most of the time. Weather was Sunny and crowd level was Medium. Overall rating 4.0/5.
66,Guwahati,Assam,Kamakhya Temple,City,26.1445,91.7362,2025-07-13,Monsoon,Couple,7,3.3,Neutral,-0.001,8,4,Medium,Budget,Sunny,0,0,Hospitals:7;Police:5,Visited Kamakhya Temple in Guwahati as a Couple traveler during Monsoon. The trip lasted 7 days. I food options were okay. Weather was Sunny and crowd level was Medium. Overall rating 3.3/5.
67,Puri,Odisha,Jagannath Temple,Coastal,19.8135,85.8312,2025-01-28,Winter,Business,3,4.7,Positive,0.313,4,7,Medium,Mid-range,Cold,0,0,Hospitals:7;Police:7,Visited Jagannath Temple in Puri as a Business traveler during Winter. The trip lasted 3 days. I had a wonderful time. Weather was Cold and crowd level was Medium. Overall rating 4.7/5.
68,Goa,Goa,Calangute Beach,Beach,15.2993,74.124,2025-03-24,Summer,Business,3,3.1,Neutral,0.235,3,5,Low,Mid-range,Cold,0,0,Hospitals:13;Police:7,Visited Calangute Beach in Goa as a Business traveler during Summer. The trip lasted 3 days. I had to wait a bit. Weather was Cold and crowd level was Low. Overall rating 3.1/5.
69,Chennai,Tamil Nadu,Fort St. George,City,13.0827,80.2707,2025-03-25,Summer,Couple,5,2.8,Neutral,0.086,5,8,Medium,Mid-range,Windy,0,0,Hospitals:2;Police:7,Visited Fort St. George in Chennai as a Couple traveler during Summer. The trip lasted 5 days. I nothing extraordinary. Weather was Windy and crowd level was Medium. Overall rating 2.8/5.
70,Chennai,Tamil Nadu,Marina Beach,City,13.0827,80.2707,2023-05-08,Summer,Family,1,4.0,Positive,0.633,8,9,Medium,Budget,Cloudy,0,0,Hospitals:12;Police:8,Visited Marina Beach in Chennai as a Family traveler during Summer. The trip lasted 1 days. I scenic views were breathtaking. Weather was Cloudy and crowd level was Medium. Overall rating 4.0/5.
71,Nainital,Uttarakhand,Tiffin Top,Hill Station,29.3919,79.4542,2025-04-17,Summer,Family,2,5.0,Positive,0.624,7,6,Medium,Mid-range,Rainy,0,0,Hospitals:5;Police:2,Visited Tiffin Top in Nainital as a Family traveler during Summer. The trip lasted 2 days. I clean and well-maintained. Weather was Rainy and crowd level was Medium. Overall rating 5.0/5.
72,Varanasi,Uttar Pradesh,Dashashwamedh Ghat,Spiritual,25.3176,82.9739,2024-12-31,Winter,Friends,2,3.1,Neutral,0.09,4,8,Very High,Budget,Cold,0,0,Hospitals:6;Police:5,Visited Dashashwamedh Ghat in Varanasi as a Friends traveler during Winter. The trip lasted 2 days. I had to wait a bit. Weather was Cold and crowd level was Very High. Overall rating 3.1/5.
73,Mysuru,Karnataka,Mysore Palace,Heritage,12.2958,76.6394,2025-03-04,Summer,Business,5,2.5,Negative,-0.651,5,5,Medium,Mid-range,Cold,0,0,Hospitals:12;Police:2,Visited Mysore Palace in Mysuru as a Business traveler during Summer. The trip lasted 5 days. I traffic was chaotic. Weather was Cold and crowd level was Medium. Overall rating 2.5/5.
74,Kochi,Kerala,Fort Kochi,Coastal,9.9312,76.2673,2025-01-20,Winter,Family,4,4.7,Positive,0.405,7,7,Very High,Budget,Cloudy,0,0,Hospitals:2;Police:1,Visited Fort Kochi in Kochi as a Family traveler during Winter. The trip lasted 4 days. I found the locals very helpful. Weather was Cloudy and crowd level was Very High. Overall rating 4.7/5.
75,Kodaikanal,Tamil Nadu,Coaker's Walk,Hill Station,10.2381,77.4892,2023-03-02,Summer,Couple,3,3.1,Neutral,-0.12,10,6,High,Luxury,Cold,0,0,Hospitals:5;Police:2,Visited Coaker's Walk in Kodaikanal as a Couple traveler during Summer. The trip lasted 3 days. I food options were okay. Weather was Cold and crowd level was High. Overall rating 3.1/5.
76,Hyderabad,Telangana,Hussain Sagar,City,17.385,78.4867,2023-08-04,Monsoon,Business,3,3.8,Neutral,0.173,9,9,High,Budget,Windy,0,0,Hospitals:11;Police:5,Visited Hussain Sagar in Hyderabad as a Business traveler during Monsoon. The trip lasted 3 days. I experience was average. Weather was Windy and crowd level was High. Overall rating 3.8/5.
